Communes,Site,Adresse,Localisation box,Techno,Opérateur,N° Marché,N° Contrat,N° Mandat,Hotline,Ligne support,Référence opérateur,IP Fixe,vlan,Débit,GTR Hebdo,GTR (h),Dégroupage (Partiel/Total),Coût (TTC/mois)
Ambarès,École primaire Aimé Césaire,38 rue Emile Rarrieu,Local technique,ADSL,ADISTA,2015021,15S0011,,383988930,,Ambares-Cesaire,-,,8,Lun-Sam,8,,"38,25  "
Ambarès,École de musique,Place de la République,Baie de brassage,ADSL,ADISTA,2015021,15S0011,,383988930,,Pole Evasion,-,,18,Lun-Sam,8,,"44,20  "
Carbon Blanc,Centre de loisir,Rue des futaies,,ADSL,Orange,Pas de marché,204001728,,,05 56 06 00 31,556060031,-,,8,Pas de GTR,Pas de GTR,,"41,86  "
Carbon Blanc,Centre technique,31 avenue victor hugo,,ADSL,Orange,Pas de marché,203483274,,,05 56 06 59 91,556065991,-,,8,Pas de GTR,Pas de GTR,,"41,86  "
Carbon Blanc,Logement Chateau Brignon,1 rue de la vigne,,ADSL,Orange,Pas de marché,209994465,,,05 56 81 24 02,556812402,-,,8,Pas de GTR,Pas de GTR,,"24,00  "
Carbon Blanc,Chateau Brignon,1 rue de la vigne,,ADSL,Orange,Pas de marché,2010-296,,,05 56 81 24 02,556812402,-,,2,Pas de GTR,Pas de GTR,,"84,44  "
Carbon Blanc,Ecole Barbou,7 avenue Aristide Briand,,ADSL,Orange,Pas de marché,205588011,,,05 56 06 13 50,556061350,-,,8,Pas de GTR,Pas de GTR,,"43,73  "
Carbon Blanc,Ecole élémentaire Pasteur,Rue Jean Rostand,,ADSL,Orange,Pas de marché,205588524,,,05 56 74 94 19,556749419,-,,4,Pas de GTR,Pas de GTR,,"43,73  "
Carbon Blanc,Ecole maternelle Pasteur,Rue Jean Rostand,,ADSL,Orange,Pas de marché,200997459,,,,,-,,"0,5",Pas de GTR,Pas de GTR,,"21,86  "
Carbon Blanc,Ecole maternelle Prévert,mairie de carbon blanc,,ADSL,Orange,Pas de marché,200994996,,,05 56 06 64 55,556066455,-,,8,Pas de GTR,Pas de GTR,,"47,84  "
Carbon Blanc,Mairie,avenue Andre Vignau Anglade,,ADSL,Orange,Pas de marché,205588520,,,05 56 38 03 00,556380300,-,,8,Pas de GTR,Pas de GTR,,"41,86  "
Carbon Blanc,Maison de la petite enfance,Avenue Vignau Anglade,,ADSL,Orange,Pas de marché,121373043,,,05 57 83 19 89,557831989,-,,20,Pas de GTR,Pas de GTR,,"52,62  "
Carbon Blanc,Maison pour tous,Avenue Vignau Anglade,,ADSL,Orange,Pas de marché,205588523,,,05 56 06 89 53,556068953,-,,8,Pas de GTR,Pas de GTR,,"43,73  "
Carbon Blanc,Médiathèque,Avenue Vignau Anglade,,ADSL,Orange,Pas de marché,205022601,,,05 56 38 39 10,556383910,-,,6,Pas de GTR,Pas de GTR,,"57,68  "
Carbon Blanc,RPA / Local syndical,26 rue Pasteur,,ADSL,Orange,Pas de marché,121097761,,,05 56 31 61 73,556316173,-,,20,Pas de GTR,Pas de GTR,,"52,82  "
Bègles,Ecole maternelle Prévert,Rue Alexis Labro,,,Orange,,200833469,,,05 56 85 94 46,,-,,,,,,
Bègles,Ecole maternelle Buisson,115 Rue Ferdinand Buisson,,,Orange,,200833742,,,05 56 85 93 03,,-,,,,,,
Bègles,Ecole maternelle Boileau,3 place de la Liberté,,,Orange,,200833646,,,05 56 85 97 21,,-,,,,,,
Bègles,Ecole maternelle Vaillant-Couturier,Rue Paul Vaillant Couturier,,,Orange,,200833565,,,05 56 85 93 95,,-,,,,,,
Bègles,Ecole maternelle La Ferrade,17 rue Jean Felloneau,,,Orange,,200833407,,,05 56 85 93 59,,-,,,,,,
Bègles,Ecole élémentaire Salengro,71 avenue Roger Salengro,,,Orange,,200833699,,,05 56 89 26 53,,-,,,,,,
Bègles,Ecole élémentaire Sembat,21 rue Noutary,,,Orange,,200833717,,,05 56 89 06 14,,-,,,,,,
Bègles,Ecole élémentaire Joliot-Curie,16 rue I. et F. joliot Curie,,,Orange,,200833503,,,05 56 75 84 96,,-,,,,,,
Bègles,Ecole élémentaire Langevin,129 bis rue de Lauriol,,,Orange,,200754930,,,05 56 89 23 60,,-,,,,,,
Bègles,Ecole élémentaire Gambetta,Rue du Xi Novembre,,,Orange,,200761407,,,05 56 89 12 79,,-,,,,,,
Bègles,Maison des Lacs,,,,Orange,,201989064,,,05 56 85 29 88,,-,,,,,,
Bègles,Bureau information jeunesse (BIJ),21 Rue Calixte Camelle,,,Orange,,201333133,,,05 56 49 06 34,,-,,,,,,
Bègles,Centre médico-scolaire (CMS),13 Avenue Jeanne d'Arc,,,Orange,,200833675,,,05 56 49 43 95,,-,,,,,,
Bègles,Point accueil jeunesse Terres-Neuves,,,,Orange,,200060882,,,05 56 49 53 21,,-,,,,,,
Bègles,Chapelle de Mussonville,,,,Orange,,208164399,,,05 56 49 91 99,,-,,,,,,
Bègles,Capitainerie port Garonne,,,,Orange,,207389916,,,05 56 49 32 59,,-,,,,,,
Floirac,MAT. PASTEUR,Impasse de la maternelle,,,Numéricâble,,13126700,,,,,-,,30,,,,
Floirac,LOUIS PASTEUR ,16 avenue Paul LAFFARGUE,,,Numéricâble,,13678706,,,,,-,,30,,,,
Floirac,"PRIMAIRE, JEAN JAURES",78 rue de la paix,,,Numéricâble,,13400895,,,,,-,,30,,,,
Floirac,MAT. MARIE CURIE,92 avenue PASTEUR,,,Numéricâble,,13113959,,,,,-,,30,,,,
Floirac,"PRIMAIRE, P & M CURIE",93 avenue PASTEUR,,,Numéricâble,,13046413,,,,,-,,30,,,,
Floirac,"PRIMAIRE, LEON BLUM",41 rue Leon BLUM,,,Numéricâble,,13097282,,,,,-,,30,,,,
Floirac,MAT. F.MAURIAC,2 rue Francois MAURIAC,,,Numéricâble,,13052904,,,,,-,,30,,,,
Floirac,"PRIMAIRE, ALBERT CAMUS",Rue VOLTAIRE,,,Numéricâble,,13120382,,,,,-,,30,,,,
Floirac,"PRIMAIRE, LOUIS ARAGON ",Rue Erik SATIE,,,Numéricâble,,13225315,,,,,-,,30,,,,
Floirac,MAIRIE DE FLOIRAC,6 avenue PASTEUR,,,Numéricâble,,13040668,,,,,-,,30,,,,
Floirac,"SAGA,CITE",41 rue Pierre CURIE,,,Numéricâble,,19099187,,,,,-,,100,,,,
Floirac,MAISON DES SAVOIRS PARTAGES ,10 rue Pierre CURIE,,,Numéricâble,,22409176,,,,,-,,100,,,,
Floirac,"ECOLE DE MUSIQUE, MAIRIE DE FLOIRAC",Rue VOLTAIRE,,,Numéricâble,,24297665,,,,,-,,30,,,,
Floirac,MAIRIE DE FLOIRAC-SYNDICAT,115 cours GAMBETTA,,,Numéricâble,,84740569,,,,,-,,30,,,,
Floirac,JUNIOR DES SALLES ,3 rue VOLTAIRE,,,Numéricâble,,19099460,,,,,-,,30,,,,
Bordeaux,ADSL doi Utilisé Routeur DIIT,Place Pey Berland,,,Orange Pro,,113522263,,39 01,05 56 81 11 24,113522263,80.15.197.140,,8 mégamax,,,,
Bordeaux,ELEMENTAIRE DAVID JOHNSTON,44 rue David Johnston,,,Orange Pro,,115582283,,39 01,05 56 79 21 48,115582283,80.11.108.204,,1 mégamax,,,,
Bordeaux,ELEMENTAIRE DEYRIES SABLIERES,30 rue Deyries,,,Orange Pro,,115596487,,39 01,05 57 95 99 82,115596487,217.128.94.105,,1 mégamax,,,,
Bordeaux,ECOLE ELEMENTAIR DUPATY,74 rue joséphine,,,Orange Pro,,115985678,,39 01,05 56 43 22 84,115985678,80.11.197.56,,1 mégamax,,,,
Bordeaux,MATERNELLE JOSEPHINE,46 rue joséphine,,,Orange Pro,,115985680,,39 01,05 56 43 28 25,115985680,80.11.101.221,,1 mégamax,,,,
Bordeaux,ECOLE ELEMENTAIRE BALGUERIE,31 cours balguerie,,,Orange Pro,,115985681,,39 01,05 56 51 17 94,115985681,80.11.108.226,,1 mégamax,,,,
Bordeaux,MATERNELLE PAUL BERTHELOT,25 rue paul berthelot,,,Orange Pro,,115985683,,39 01,05 56 51 07 45,115985683,,,1 mégamax,,,,
Bordeaux,MATERNELLE LUCIEN FAURE,5 rue lucien faure,,,Orange Pro,,115985685,,39 01,05 56 39 60 53,115985685,80.11.101.125,,1 mégamax,,,,
Bordeaux,MATERNELLE LE POINT DU JOUR,2 rue barillet deschamps,,,Orange Pro,,115985687,,39 01,05 56 69 08 17,115985687,80.11.102.77,,1 mégamax,,,,
Bordeaux,MATERNELLE LAGRANGE,145 rue lagrange,,,Orange Pro,,115985688,,39 01,05 56 51 09 93,115985688,,,1 mégamax,,,,
Bordeaux,ELEMENTAIRE ALBERT BARRAUD,21 rue docteur barraud,,,Orange Pro,,115985690,,39 01,05 56 81 56 11,115985690,217.128.249.131,,1 mégamax,,,,
Bordeaux,MATERNELLE ARGONNE,123 cours de l'argonne,,,Orange Pro,,115985703,,39 01,05 56 91 14 95,115985703,80.11.101.47,,1 mégamax,,,,
Bordeaux,MATERNELLE PAIX,4 rue marc sangnier,,,Orange Pro,,115985924,,39 01,05 56 81 04 29,115985924,,,1 mégamax,,,,
Bordeaux,MATERNELLE NAUJAC,25 rue naujac,,,Orange Pro,,115985925,,39 01,05 56 81 56 85,115985925,,,1 mégamax,,,,
Bordeaux,ELEMENTAIRE VIEUX BORDEAUX,rue dieu,,,Orange Pro,,115985926,,39 01,05 56 81 45 62,115985926,80.11.110.60,,1 mégamax,,,,
Bordeaux,MATERNELLE PAS ST GEORGES,55 rue pas st georges,,,Orange Pro,,115985927,,39 01,05 56 81 47 75,115985927,,,1 mégamax,,,,
Bordeaux,ELEMENTAIRE MENUTS,57 rue des menuts,,,Orange Pro,,115985928,,39 01,05 56 91 00 64,115985928,80.11.197.93,,1 mégamax,,,,
Bordeaux,MATERNELLE MENUTS,70 rue des menuts,,,Orange Pro,,115985929,,39 01,05 56 91 09 66,115985929,,,1 mégamax,,,,
Bordeaux,ELEMENTAIRE MONTAUD,1 place montaud,,,Orange Pro,,115985930,,39 01,05 56 86 45 24,115985930,193.251.72.104,,8 mégamax,,,,
Bordeaux,MATERNELLE NUITS,31 rue de nuits,,,Orange Pro,,115985931,,39 01,05 56 86 87 63,115985931,80.15.81.163,,1 mégamax,,,,
Bordeaux,MATERNELLE CHARLES MARTIN,81 rue charles martin,,,Orange Pro,,115993497,,39 01,05 56 69 75 08,115993497,80.11.238.162,,1 mégamax,,,,
Bordeaux,MATERNELLE ALBERT SCHWEITZER,rue du docteur A. Schweitzer,,,Orange Pro,,115993498,,39 01,05 56 43 16 87,115993498,80.11.108.222,,1 mégamax,,,,
Bordeaux,ELEMENTAIRE CONDORCET,rue condorcet,,,Orange Pro,,115993500,,39 01,05 56 43 18 70,115993500,80.11.101.218,,1 mégamax,,,,
Bordeaux,GROUPE MONTGOLFIER,15 rue montgolfier,,,Orange Pro,,115993507,,39 01,05 56 79 13 27,115993507,80.11.109.141,,1 mégamax,,,,
Bordeaux,MATERNELLE ALBERT THOMAS,20 rue Albert Thomas,,,Orange Pro,,115995642,,39 01,05 56 90 15 34,115995642,80.13.61.61,,1 mégamax,,,,
Bordeaux,ELEMENTAIRE BENAUGE,Bld Jules Simon,,,Orange Pro,,115995664,,39 01,05 56 32 94 83,115995664,80.11.138.186,,1 mégamax,,,,
Bordeaux,MATERNELLE THIERS,4 rue Savigné Chanteloup,,,Orange Pro,,115995667,,39 01,05 56 32 55 38,115995667,,,1 mégamax,,,,
Bordeaux,ELEMENTAIRE ANDRE MEUNIER,"26,28 rue des Douves",,,Orange Pro,,115995669,,39 01,05 57 95 73 04,115995669,80.11.183.199,,1 mégamax,,,,
Bordeaux,ELEMENTAIRE SOMME,294 cours de la Somme,,,Orange Pro,,115995672,,39 01,05 57 95 75 84,115995672,80.11.197.167,,8 mégamax,,,,
Bordeaux,MATERNELLE FIEFFE,58 rue Fieffé,,,Orange Pro,,115995674,,39 01,05 57 95 82 33,115995674,,,1 mégamax,,,,
Bordeaux,MATERNELLE YSER,150 cours de l'Yser,,,Orange Pro,,115995676,,39 01,05 56 92 79 46,115995676,,,1 mégamax,,,,
Bordeaux,ADSL doi Utilisé Routeur MCO,Jabrun/doi-mco,,,Orange Pro,,116000636,,39 01,05 56 81 11 21,116000636,,,8 mégamax,,,,
Bordeaux,ECOLE MATERNELLE PAUL DOUMER,10 Rue Paul Doumer ,,,Orange Pro,,116005284,,39 01,05 56 02 14 19,116005284,80.11.109.2,,1 mégamax,,,,
Bordeaux,ECOLE MATERNELLE CLOS MONTESQUIEU,Le Clos Montesquieu,,,Orange Pro,,116005285,,39 01,05 56 47 28 43,116005285,,,1 mégamax,,,,
Bordeaux,ECOLE MATERNELLE PAUL LAPIE,Place Martyrs Résistance Caudéran,,,Orange Pro,,116005291,,39 01,05 56 02 20 79,116005291,,,1 mégamax,,,,
Bordeaux,GROUPE SCOLAIRE FLORNOY,44 Rue Flornoy,,,Orange Pro,,116005295,,39 01,05 56 98 75 41,116005295,80.11.197.110,,1 mégamax,,,,
Bordeaux,ELEMENTAIRE JEAN COCTEAU,49 Rue de l'Ecole Normale,,,Orange Pro,,116005300,,39 01,05 56 02 33 09,116005300,80.11.182.216,,1 mégamax,,,,
Bordeaux,ECOLE MATERNELLE PIERRE TREBOD,87 Rue Pierre Trébod,,,Orange Pro,,116005304,,39 01,05 56 69 70 76,116005304,,,1 mégamax,,,,
Bordeaux,ECOLE MATERNELLE LAC III,86 Rue Robert Caumont,,,Orange Pro,,116005307,,39 01,05 56 29 07 95,116005307,,,1 mégamax,,,,
Bordeaux,ECOLE ELEMENTAIRE FRANCIN,64 Rue Francin,,,Orange Pro,,116005310,,39 01,05 56 91 45 04,116005310,80.11.101.105,,1 mégamax,,,,
Bordeaux,ECOLE MATERNELLE BERNARD ADOUR,119 Rue Bernard Adour,,,Orange Pro,,116005312,,39 01,05 56 96 93 68,116005312,80.11.101.103,,1 mégamax,,,,
Bordeaux,GROUPE SCOLAIRE JEAN MONNET,1 Rue du Jonc,,,Orange Pro,,116005315,,39 01,05 56 29 05 13,116005315,80.11.108.117,,1 mégamax,,,,
Bordeaux,ECOLE ELEMENTAIRE LAC II,2 Rue du Petit Miot,,,Orange Pro,,121310944,,39 01,05 56 50 97 08,121310944,80.11.79.114,,,,,,
Bordeaux,ECOLE MATERNELLE LAC II,Clairière des Aubiers,,,Orange Pro,,116005318,,39 01,05 56 69 93 07,116005318,,,1 mégamax,,,,
Bordeaux,GROUPE SCOLAIRE STENDHAL,Rue Stendhal,,,Orange Pro,,116005321,,39 01,05 57 87 68 97,116005321,80.11.109.106,,1 mégamax,,,,
Bordeaux,ECOLE MATERNELLE BECHADE,9 Rue Madagascar,,,Orange Pro,,116005322,,39 01,05 56 98 42 23,116005322,80.11.69.216,,1 mégamax,,,,
Bordeaux,MATERNELLE JEAN COCTEAU,49 Rue de l'Ecole Normale,,,Orange Pro,,116005729,,39 01,05 56 42 05 69,116005729,,,1 mégamax,,,,
Bordeaux,GROUPE MAJORITAIRE,6 rue Elysée reclus,,,Orange Pro,,116024684,,39 01,05 56 51 62 68,116024684,,,8 mégamax,,,,
Bordeaux,GROUPE SOCIALISTE,14 Cours Mar.Juin,,,Orange Pro,,116030915,,39 01,05 56 51 93 63,116030915,,,8 mégamax,,,,
Bordeaux,GROUPE ELUS VERTS,14 rue Lecocq,,,Orange Pro,,116038488,,39 01,05 56 51 78 91,116038488,,,8 mégamax,,,,
Bordeaux,HARMONIE BASTIDE,"1, bvd Jules Simon",,,Orange Pro,,116047854,,39 01,05 56 32 43 14,116047854,,,1 mégamax,,,,
Bordeaux,CENTRE DE VACANCES ,156 Bd de la Cote D'Argent,,,Orange Pro,,116049088,,39 01,05 56 54 59 21,116049088,,,1 mégamax,,,,
Bordeaux,CAPC,Rue Ferrère,,,Orange Pro,,117237326,,39 01,05 56 01 08 66,117237326,,,8 mégamax,,,,
Bordeaux,LYCEE HORTICOLE,Chemin du Sourbey,,,Orange Pro,,117411148,,39 01,05 56 57 12 78,117411148,,,1 mégamax,,,,
Bordeaux,THEATRE LA PERGOLA,Rue Fernand Cazeres,,,Orange Pro,,117871339,,39 01,05 56 08 24 01,117871339,,,1 mégamax,,,,
Bordeaux,ELEMENTAIRE NUYENS,20 Rue Nuyens,,,Orange Pro,,117899748,,39 01,05 56 67 82 42,117899748,80.11.138.119,,1 mégamax,,,,
Bordeaux,PISCINE GRAND PARC,Cours de Luze,,,Orange Pro,,118909199,,39 01,05 56 79 71 48,118909199,,,1 mégamax,,,,
Bordeaux,CLASSES VERTES BOIS DE BORDEAUX,Avenue de Pernon,,,Orange Pro,,119554667,,39 01,05 56 50 91 97,119554667,,,1 mégamax ,,,,
Bordeaux,Bibliothèque de Bordeaux,85 cours du mar Juin,,,Orange Pro,,84564789,,39 01,,84564789,212.198.43.104,,Haut débit,,,,
Bordeaux,FOYER BRACH,35 rue Brach,,,Orange Pro,,116024678,,39 01,05 56 79 70 35,116024678,,,8 mégamax,,,,
Bordeaux,FOYER ARMAND FAULAT,80 rue Charles Chaumet,,,Orange Pro,,119701563,,39 01,05 56 00 66 98,119701563,,,8 mégamax,,,,
Bordeaux,FOYER QUEYRIES,13 allée Jean Giono,,,Orange Pro,,119695255,,39 01,05 57 54 06 58 ,119695255,,,8 mégamax,,,,
Bordeaux,FOYER MAGENDIE,45 avenue de Magendie,,,Orange Pro,,119741527,,39 01,05 57 80 21 72 ,119741527,,,8 mégamax,,,,
Bordeaux,FOYER BILLAUDEL,112 Rue Billaudel,,,Orange Pro,,120045114,,39 01,05 56 91 70 53 ,120045114,,,8 mégamax,,,,
Bordeaux,FOYER MANON CORMIER,,,,Orange Pro,,120464176,,39 01,05 57 88 69 50,120464176,,,1 mégamax,,,,
Bordeaux,Internet Bibliothèque Formation,Palais Rohan,,,Orange Pro,,121258893,,39 01,05 56 52 99 28,121258893,,,20 Mega,,,,
Bordeaux,Appartement Bouguereau,11 rue Bouguereau,,,Orange Pro,,121350364,,39 01,05 56 51 07 95,121350364,,,,,,,
Bordeaux,Syndicat CGT,"3, Rue Leydet",,,Orange Pro,,121373462,,39 01,05 56 94 13 80,121373462,,,20 mégamax,,,,
Bordeaux,Syndicat CFDT,"3, Rue Leydet",,,Orange Pro,,121373293,,39 01,05 56 31 13 06,121373293,,,21 mégamax,,,,
Bordeaux,Syndicat FO,17 quai de ma Monnaie,,,Orange Pro,,121373280,,39 01,05 56 31 94 85,121373280,,,8 mégamax,,,,
Bordeaux,Hôtel de ville Ligne A.JUPPE ( Ministère des Affaires Etrangères),,,,Orange Pro,,121443380,,39 01,05 56 79 22 86,121443380,80.15.5.124,,20 mégamax,,,,
Bordeaux,GROUPE SCOLAIRE VACLAV HAVEL,Rue Xavier Arsenne Henry,,,Orange Pro,,121676938,,39 01,05 56 30 57 84,121676938,2.6.217.101,,8 mégamax,,,,
Bordeaux,GROUPE Front National,14 Cours Mar.Juin,,,Orange Pro,,121757828,,39 01,05 56 51 28 55,121757828,,,8 mégamax,,,,
Bordeaux,PISCINE STEHELIN,217 AVENUE MAR DE LATTRE TASSIGNY,,,Orange Pro,,121775320,,39 01,05 56 08 38 03,121775320,,,8 mégamax,,,,
Bordeaux,Jabrun,,,,Orange Pro,,121860500,,39 01,,121860500,,,,,,,
Bordeaux,Jabrun,,,,Orange Pro,,121860496,,39 01,,121860496,,,,,,,
Bordeaux,ADSL doi Utilisé Routeur DIIT,HDV,,,Orange Pro,,114794134,,39 01,05 56 81 11 24,114794134,"80,14,120,204",,8 mégamax,,,,
Bordeaux,MATERNELLE SOLFERINO,11 rue solferino,,,Numéricâble Pro,,84370207,,08 25 33 08 25,05 56 90 17 18,84370207,212.198.42.192,,,,,,
Bordeaux,ELEMENTAIRE JACQUES PREVERT,45 rue de talence,,,Numéricâble Pro,,84946103,,08 25 33 08 25,,84946103,212.198.110.70,,,,,,
Bordeaux,MATERNELLE BARBEY,cours barbey,,,Numéricâble Pro,,84387111,,08 25 33 08 25,,84387111,212.198.42.228,,,,,,
