nom,snmpcontact,dns,iosv,ip,modele,marque
Elementaire-Sanson,,rtrecole_Sanson-e,8.4(1),172.25.58.150,Cisco ASA 5505,Cisco,
Elementaire-Prevert,LTxxxx-ADSL-LB-OBS-20M,rtrecole_Prevert-e,8.4(1),172.25.33.150,Cisco ASA 5505,Cisco,
Groupe-Monnet,LTxxxx-ADSL-LB-OBS-20M,rtrecole_monnet-e-m,8.4(1),172.25.82.150,Cisco ASA 5505,Cisco,
Maternelle-Josephine,,rtrecole_Josephine-m,8.4(1),172.25.15.150,Cisco ASA 5505,Cisco,
Elementaire-Lac2,LTxxxx-ADSL-LB-OBS-20M,rtrecole_lac2-e,8.4(1),172.25.85.150,Cisco ASA 5505,Cisco,
Maternelle-Lac3,,rtrecole_lac3-m,8.4(1),172.25.88.150,Cisco ASA 5505,Cisco,
Classe Verte,,rtrecole_Classe_Verte,"12.2(8)YJ, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.25.117.150,Cisco 806,Cisco,
La Dune,,LaDune,"12.2(13)ZG, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.25.113.150,Cisco 831,Cisco,
Bib-Formation,,rtr_bib_form,8.4(1),172.25.131.150,Cisco ASA 5505,Cisco,
Maternelle-Lac2,,rtrecole_lac2-m,8.4(1),172.25.87.150,Cisco ASA 5505,Cisco,
Maternelle-Lagrange,LTxxxx-ADSL-LB-OBS-20M,rtrecole_Lagrange-m,8.4(1),172.25.20.150,Cisco ASA 5505,Cisco,
Maternelle-Naujac,,rtrecole_Naujac-m,8.4(1),172.25.24.150,Cisco ASA 5505,Cisco,
Maternelle-Nuits,,rtrecole_Nuits-m,8.4(1),172.25.29.150,Cisco ASA 5505,Cisco,
Groupe-Nuyens,,rtrecole_Nuyens-e-m,8.4(1),172.25.68.150,Cisco ASA 5505,Cisco,
Maternelle-Paix,,rtrecole_Paix-m,8.4(1),172.25.22.150,Cisco ASA 5505,Cisco,
Maternelle-PasStGeorges,,rtrecole_Stgeorge-m,8.4(1),172.25.25.150,Cisco ASA 5505,Cisco,
Elementaire-Labarde,,rtrecole_labarde-e,8.4(1),172.25.66.150,Cisco ASA 5505,Cisco,
Groupe-Pins francs,LTxxxx-CABLE-NB-NCB-100M,rtrecole_pins-francs-e-m,8.4(1),172.25.78.150,Cisco ASA 5505,Cisco,
Maternelle-PointDuJour,,rtrecole_Pointdujour-m,8.4(1),172.25.19.150,Cisco ASA 5505,Cisco,
Maternelle-StAndre,LTxxxx-CABLE-NB-NCB-100M,rtrecole_Standre-m,8.4(1),172.25.46.150,Cisco ASA 5505,Cisco,
Groupe-StBruno,LTxxxx-FO-NO-MBX-1G,rtrecole_Stbruno-e-m,8.4(1),172.25.48.150,Cisco ASA 5505,Cisco,
Maternelle-Solferino,LTxxxx-CABLE-NB-NCB-100M,rtrecole_Solferino,8.4(1),172.25.34.150,Cisco ASA 5505,Cisco,
Groupe-Somme,LTxxxx-ADSL-LB-OBS-8M,rtrecole_Somme-e-m,8.4(1),172.25.61.150,Cisco ASA 5505,Cisco,
Groupe-Sousa-Mendes,LTxxxx-FO-NO-MBX-1G,rtrecole_Mendes-e-m,8.4(1),172.25.64.150,Cisco ASA 5505,Cisco,
Groupe-Stehelin,,rtrecole_Stehelin-e,8.4(1),172.25.44.150,Cisco ASA 5505,Cisco,
AH-DOIRDC,admin@aerohive.com,AH-DOIRDC,,192.168.24.20,HiveAP 20,Aerohive,
Bib Bacalan,,Bib-Bacalan,,172.20.251.59,Synoptics,Synoptics,
CCAS Repos Maternel gradignan,,CCAS-ReposMaternel,,172.20.144.220,Synoptics,Synoptics,
Cimetière Nord,INTRTCIS1CSCIM0,rtr-cimnord,"12.3(26), RELEASE SOFTWARE (fc2)",172.20.206.254,Cisco 806,Cisco,
Maternelle-Argonne,,rtrecole_Argonne-m,8.4(1),172.25.32.150,Cisco ASA 5505,Cisco,
Maternelle-Barbey,LTxxxx-CABLE-NB-NCB-100M,rtrecole_Barbey-m,8.4(1),172.25.35.150,Cisco ASA 5505,Cisco,
Maternelle-Bechade,,rtrecole_bechade-m.ecoles,8.4(1),172.25.72.150,Cisco ASA 5505,Cisco,
Elementaire-Belair,LTxxxx-CABLE-NB-NCB-100M,rtrecole_Belair-e,8.4(1),172.25.53.150,Cisco ASA 5505,Cisco,
Maternelle-Adour,,rtrecole_Adour-m.ecoles,8.4(1),172.25.73.150,Cisco ASA 5505,Cisco,
Maternelle-Berthelot,,rtrecole_Berthelot-m,8.4(1),172.25.17.150,Cisco ASA 5505,Cisco,
Elementaire-Cazemajor,,rtrecole_cazemajor-e.ecoles,8.4(1),172.25.80.150,Cisco ASA 5505,Cisco,
Maternelle-Lapie,,rtrecole_lapie-m,8.4(1),172.25.77.150,Cisco ASA 5505,Cisco,
Elementaire-Loucheur,LTxxxx-CABLE-NB-NCB-100M,rtrecole_Loucheur-e,8.4(1),172.25.52.150,Cisco ASA 5505,Cisco,
Maternelle-Sempe,,rtrecole_Faure-m,8.4(1),172.25.18.150,Cisco ASA 5505,Cisco,
Maternelle-Menuts,,rtrecole_Menuts-m,8.4(1),172.25.27.150,Cisco ASA 5505,Cisco,
Groupe-Meunier,LTxxxx-ADSL-LB-OBS-20M,rtrecole_Meunier-e-m,8.4(1),172.25.59.150,Cisco ASA 5505,Cisco,
Maternelle-Montesquieu,,rtrecole_montesquieu-m,8.4(1),172.25.79.150,Cisco ASA 5505,Cisco,
Groupe-Montgolfier,LTxxxx-ADSL-LB-OBS-8M,rtrecole_Mongolfier-e-m,8.4(1),172.25.41.150,Cisco ASA 5505,Cisco,
Groupe-Stendhal,LTxxxx-ADSL-LB-OBS-20M,rtrecole_stendhal-e-m,8.4(1),172.25.84.150,Cisco ASA 5505,Cisco,
Groupe-Thiers,LTxxxx-ADSL-LB-OBS-8M,rtrecole_Thiers-e-m,8.4(1),172.25.55.150,Cisco ASA 5505,Cisco,
Groupe-Albert-Thomas,LTxxxx-ADSL-LB-OBS-8M,rtrecole_Thomas-e-m,8.4(1),172.25.50.150,Cisco ASA 5505,Cisco,
Maternelle-Trebod,,rtrecole_trebod-m,8.4(1),172.25.89.150,Cisco ASA 5505,Cisco,
Groupe-Vernet,LTxxxx-CABLE-NB-NCB-100M,rtrecole_Vernet-e-m,8.4(1),172.25.60.150,Cisco ASA 5505,Cisco,
Maternelle-Yser,,Yser-m.ecoles,8.4(1),172.25.63.150,Cisco ASA 5505,Cisco,
Creche Bordeaux Centre,,rtr-cre-stjean,"12.2(2)XK2, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.21.211.1,Cisco 806,Cisco,
Rohan-Police-BaieDroite,DOI,ROHAN-AN-1,,172.20.251.156,Synoptics,Synoptics,
Maison des danses,INTSWAVA1CSSS,Maison-Danse,,172.20.150.220,Synoptics,Synoptics,
S-ORION,,S-ORION.mbx.fr,6.3 (Build 9600 Multiprocessor Free),172.20.99.163,Windows 2012 R2 Server,Windows,
Conservatoire,,sw-cnr-ss.mbx.fr,08.0.30fT211 Compiled on Jan 26 2016 at 22:09:49 labeled as SPS08030f,172.20.251.43,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Elementaire-Benauge,LTxxxx-ADSL-LB-OBS-20M,Benauge-e.ecoles.internetpublic.fr,8.4(1),172.25.54.150,Cisco ASA 5505,Cisco,
Elementaire-Schweitzer,,Schweitzer-39.ecoles.internetpublic.fr,9.7(1)4,172.25.39.150,Cisco,Cisco,
FH Conservatoire,Not Set Yet,conservatoire," 6.0.21 (Date: Jan 07 2010, 14:27:06)",172.20.251.239,Alvarion Ltd.,Alvarion Ltd.,
Haillan-Lycée,DOI,Lycee horticole,,172.20.251.229,Synoptics,Synoptics,
PTM-TGBT,,Daney-TGBT,08.0.30T211 Compiled on Mar 20 2015 at 11:57:13 labeled as SPS08030,172.20.251.94,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Botanique-0,FOP,JdBotanique-0,,172.20.251.34,Synoptics,Synoptics,
Botanique-1,FOP,JdBotanique-1,,172.20.251.35,Synoptics,Synoptics,
Aquitaine-4,DOI,sw-aquitaine-4.mbx.fr,,172.20.251.84,Synoptics,Synoptics,
Aquitaine-1,DOI,AQUITAINE-1,,172.20.251.83,Synoptics,Synoptics,
Piscine Tissot,,pisc-tissot,,172.20.178.220,Synoptics,Synoptics,
Musée des Arts Décos,,sw-eba-1.mbx.fr,08.0.10dT311 Compiled on Jul 25 2014 at 11:45:37 labeled as ICX64S08010d,172.20.251.56,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Meriadeck-4,FOPSWAVA2GBBIB4,sw-bib-mdk-4.mbx.fr,,172.20.251.118,Synoptics,Synoptics,
Rohan-Aile Sud,,sw-rohan-as-1.mbx.fr,08.0.30kT211 Compiled on Oct 18 2016 at 05:40:38 labeled as SPS08030k,172.20.251.134,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Maison Eco Citoyenne,,MEC,08.0.10eT311 Compiled on Oct  2 2014 at 17:35:34 labeled as ICX64S08010e,172.20.251.12,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Meriadeck-2-Nord,FOPSWAVA1GBBIB2,sw-bib-mdk-2n.mbx.fr,,172.20.251.116,ES 470-48T,Synoptics,
Meriadeck-6-Nord,DOI,BIB-MDK-6N,,172.20.251.120,ES 470-48T,Synoptics,
Mably,,MABLY,,172.20.251.147,Synoptics,Synoptics,
PTM-Latule,,DANEY-LATULE-0,08.0.30faT211 Compiled on Feb 18 2016 at 22:55:59 labeled as SPS08030fa,172.20.251.95,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Meriadeck-Sous dalle,DOI,BIB-Sous-Dalle,,172.20.251.123,ES 470-48T,Synoptics,
AH-ROH-CMEstrade,admin@aerohive.com,AH-CMEstrade,,192.168.24.21,HiveAP 20,Aerohive,
Museum,,MUSEUM,08.0.30aT311 Compiled on Apr 22 2015 at 15:28:59 labeled as ICX64S08030a,172.20.251.49,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Meriadeck-Cralej,DOI,BIB-Cralej,,172.20.251.122,Synoptics,Synoptics,
Elementaire-Ferry,LTxxxx-CABLE-NB-NCB-100M,Ferry-e.ecoles.internetpublic.fr,8.4(1),172.25.75.150,Cisco ASA 5505,Cisco,
AH-ROH-CMRegie,admin@aerohive.com,,,192.168.24.12,HiveAP 20,Aerohive,
Bib Saint Michel,INTSWAVA2CSBIB0,Bib-StMichel,,172.20.21.220,Synoptics,Synoptics,
Meriadeck-0-Nord,DOI-2699,BIB-MDK-0N,,172.20.251.114,ES 470-48T,Synoptics,
Meriadeck-6-Sud,DOI,BIB-MDK-6S,,172.20.251.121,Synoptics,Synoptics,
Meriadeck-2-Sud,DOI,BIB-MDK-2S,,172.20.251.117,Synoptics,Synoptics,
Meriadeck-0-Sud,DOI,BIB-MDK-0S,,172.20.251.115,ES 470-48T,Synoptics,
Piscine Galin,DOI,Piscine Galin,,172.20.235.220,Synoptics,Synoptics,
SW-Maternelle Paul Bert,,PaulBert-mat,,172.20.251.113,Synoptics,Synoptics,
SW-Elémentaire A. France,FOPSWAVA1GBMAT1,A.FRANCE-SUD,,172.20.251.108,Synoptics,Synoptics,
Groupe-Balguerie,LTxxxx-ADSL-LB-OBS-20M,Balguerie-16.ecoles.internetpublic.fr,8.4(1),172.25.16.150,Cisco ASA 5505,Cisco,
Groupe-Condorcet,LTxxxx-ADSL-LB-OBS-8M,Condorcet-40.ecoles.internetpublic.fr,8.4(1),172.25.40.150,Cisco ASA 5505,Cisco,
Elementaire-Menuts,LTxxxx-ADSL-LB-OBS-8M,Menuts-e.ecoles.internetpublic.fr,8.4(1),172.25.26.150,Cisco ASA 5505,Cisco,
Groupe-Paul-Bert,LTxxxx-ADSL-LB-OBS-8M,Paul-Bert-e-m-70.ecoles.internetpublic.fr,8.4(1),172.25.70.150,Cisco ASA 5505,Cisco,
Elementaire-Paul Doumer,LTxxxx-ADSL-LB-OBS-8M,Doumer-e.ecoles.internetpublic.fr,8.4(1),172.25.67.150,Cisco ASA 5505,Cisco,
Groupe-Beck-Buisson,LTxxxx-FO-NO-MBX-1G,Gs-Beck-Buisson.ecoles.internetpublic.fr,8.4(1),172.25.30.150,Cisco ASA 5505,Cisco,
Maternelle-Pressense,LTxxxx-CABLE-NB-NCB-30M,Henri-IV.ecoles.internetpublic.fr,8.4(1),172.25.49.150,Cisco ASA 5505,Cisco,
Groupe-Anatole-France,LTxxxx-FO-NO-MBX-1G,Anatole-France-47.ecoles.internetpublic.fr,8.4(1),172.25.47.150,Cisco ASA 5505,Cisco,
SW-ELE-Stehelin,,,,172.25.44.220,ES 470-48T,Synoptics,
Rue Saigon,,Saigon,,172.20.251.130,Synoptics,Synoptics,
CCAS Maryse Bastie,DOI,CCAS-M.Bastie,,172.20.148.220,Synoptics,Synoptics,
Bib La Bastide - Benauge,DOI,BIB-BENAUGE,,172.20.15.220,Synoptics,Synoptics,
Bib Bordeaux Lac,,172.20.16.220,,172.20.251.175,Synoptics,Synoptics,
Maison de la Justice-Ravezies,DOI,Justice,,172.20.164.220,Synoptics,Synoptics,
Creche Carreire,,CRE-Carrere,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.20.189.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Creche Gaspard Philippe,,Cre-G.Philippe,08.0.10hT311 Compiled on Feb  5 2015 at 16:11:46 labeled as ICX64S08010h,172.20.208.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
CAPC-0,,sw-capc-0-1.mbx.fr,08.0.30aT311 Compiled on Apr 22 2015 at 15:28:59 labeled as ICX64S08030a,172.20.251.137,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-Maternelle A. France,FOPSWAVA1GBELE1,A.FRANCE-NORD,,172.20.251.106,Synoptics,Synoptics,
SW-Elémentaire Beck-Buisson,,BeckBuisson,,172.20.251.140,ERS 4548GT-PWR,Synoptics,
SW-Maternelle Beck-Buisson,DOI,Beck-Buisson-m,,172.20.251.141,Synoptics,Synoptics,
SW-Elémentaire Paul Bert,,PaulBert-Ele,,172.20.251.112,Synoptics,Synoptics,
Ecole Beaux Arts-1,DOI,EBA-1,,172.20.251.128,Synoptics,Synoptics,
Piscine Grand Parc,INTSWAVA0CSEPS0,172.20.226.220,,172.20.251.102,Synoptics,Synoptics,
Bib Jardin Public,,BIB-JD-PUBLIC,,172.20.251.174,Synoptics,Synoptics,
Creche Albert Barraud,,Cre-A.Barraud,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.20.192.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Bib Sontay,INTSWAVA2CSBIB0,Bib-Sontay,,172.20.22.220,Synoptics,Synoptics,
Groupe-Deyries,LTxxxx-ADSL-LB-OBS-8M,rtrecole_deyries.ecoles,8.4(1),172.25.11.150,Cisco ASA 5505,Cisco,
RPA-ArmandFaulat,,rtrafaulat,"12.2(8)YJ, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.25.120.150,Cisco 806,Cisco,
RPA-ManonCormier,,rtrFoyer_ManonCormier,"12.2(13)ZG, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.25.122.150,Cisco 831,Cisco,
CCAS-MaisonRelais,,CCAS-MaisonRelais.home,"12.3(26), RELEASE SOFTWARE (fc2)",172.25.135.150,Cisco 806,Cisco,
Maison du vélo,DOI,MaisonDuVelo,,172.20.251.127,Synoptics,Synoptics,
Galerie des Beaux Arts,DOI,MBA-GALERIE,,172.20.251.98,Synoptics,Synoptics,
Rohan-Central,DOI,sw-rohan-c-2.mbx.fr,,172.20.251.135,ES 470-48T,Synoptics,
Ecole Bx Arts-Annexe,DOI,EBA-Annexe,,172.20.251.129,Synoptics,Synoptics,
Ecole-DUPATY,,,08.0.30fT311 Compiled on Jan 26 2016 at 22:02:54 labeled as ICX64S08030f,172.25.14.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
RPA M. Cormier,DOI,RPA-M.Cormier,,172.20.36.220,Synoptics,Synoptics,
RPA Billaudel,DOI,RPA-Billaudel,,172.20.36.222,Synoptics,Synoptics,
RPA Magendie,DOI,RPA-Magendie,,172.20.36.223,Synoptics,Synoptics,
SW-ELE-Ferry,VPNNCASA30MELE0,Ferry-Elementaire-75,"3.10, Release 2211P06",172.25.75.220,H3C S3100-26TP-EI,H3C,
RPA Reinette,DOI,RPA-Reinette,,172.20.36.224,Synoptics,Synoptics,
RPA Chantecrit,DOI,RPA-Chantecrit,,172.20.36.225,Synoptics,Synoptics,
RPA Alsace Lorraine,INT1CSRPALORRAI00,RPA-A.Lorraine,,172.20.251.148,Synoptics,Synoptics,
Creche magendie,,RPA-Matteotti,08.0.30aT311 Compiled on Apr 22 2015 at 15:28:59 labeled as ICX64S08030a,172.20.36.227,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
RPA A Faulat,INTRTCIS2CSRPA0,RPA-A.faulat,,172.20.36.228,Synoptics,Synoptics,
HdV-Central Sud,,sw-rohan-cs-1.mbx.fr,08.0.30T211 Compiled on Mar 20 2015 at 11:57:13 labeled as SPS08030,172.20.251.212,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
CMS Caudéran-Charles de Gaulle,INTRTCIS0CSCMS0,rtr-belair.mbx.fr,"12.2(2)XK2, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.20.202.254,Cisco 806,Cisco,
CMS Gouffrand,,rtr-gouffrand.mbx.fr,"12.2(2)XK2, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.20.204.254,Cisco 806,Cisco,
CMS Nuits,INTRTCIS0CSCMS0,rtr-nuits.mbx.fr,"12.2(2)XK2, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.20.205.254,Cisco 806,Cisco,
CMS Vilaris,,rtr-vilaris.mbx.fr,"12.2(2)XK2, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.20.203.254,Cisco 806,Cisco,
Creche C. Vernet,,CRE-C.Vernet,08.0.10mT311 Compiled on Jul  8 2015 at 15:39:10 labeled as ICX64S08010m,172.20.213.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Creche Haussman,,rtr-cre-haussman,,172.20.251.32,Synoptics,Synoptics,
Creche Bx Nord,,rtr-cre-bxnord,"12.2(2)XK2, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.21.191.1,Cisco 806,Cisco,
Creche J. Marquaux,,172.21.159.1,08.0.10T311 Compiled on Jan  7 2014 at 08:39:54 labeled as ICX64S08010,172.20.159.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Panorama,DOI,Panorama,,192.168.3.44,Palo Alto Networks,Palo Alto Networks,
La Parentele,,rtr-parentele,"12.2(2)XK2, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.21.214.1,Cisco 806,Cisco,
Creche Ornano,,rtr-cre-ornano,08.0.30kT311 Compiled on Oct 18 2016 at 05:31:09 labeled as ICX64S08030k,172.20.187.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
Atelier Informatique,DOI,Atelier Informatique,,172.20.251.119,ES 470-48T,Synoptics,
Haillan-Dépot,,rtr-depot-haillan,"12.2(2)XK2, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.21.160.1,Cisco 806,Cisco,
Espaces Verts Bx Lac,INTRTCISEVP0CS,rtr-espvert-lac,"12.2(13)ZG, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.21.173.1,Cisco 831,Cisco,
Espaces Verts Grand Parc,INTRTCISEVP0CS,rtr-espvert-gdparc,"12.2(2)XK2, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.21.172.1,Cisco 806,Cisco,
Plaine des sports,,rtr-bdx-lac.yourdomain.com,"12.4(4)T4, RELEASE SOFTWARE (fc2)",172.21.141.1,Cisco 871,Cisco,
Espaces Verts Parc Bordelais,,rtr-espvert-parc-bordelais,"12.2(8)YJ, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.21.174.1,Cisco 806,Cisco,
AH-ROH-Salon Boucart,admin@aerohive.com,,,192.168.24.44,HiveAP 20,Aerohive,
AH-ROH-Aile_Sud-Couloir,admin@aerohive.com,AH-AILESUD,,192.168.24.19,HiveAP 20,Aerohive,
Espaces Verts Bois de Bx,,rtr-BoisDeBx,"12.2(13)ZG, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.20.166.254,Cisco 831,Cisco,
Espaces Verts Bastide,INTRTCIS0CSEVP0,rtr-espverts-bastide,"12.3(2)XC2, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.21.168.1,Cisco 831,Cisco,
Espaces Verts Caudéran,,rtr-espverts-cauderan,"12.2(13)ZG, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.21.169.1,Cisco 831,Cisco,
Espaces Verts Bx Nord,,rtr-espverts-bxnord,"12.3(2)XC2, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.21.170.1,Cisco 831,Cisco,
Maison du jardinier,,rtr-maison-jardinier,"12.3(2)XE3, RELEASE SOFTWARE (fc1)",172.21.225.1,Cisco 831,Cisco,
Proprete Cauderan,,rtr-proprete-cauderan,"12.2(2)XK2, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.21.236.1,Cisco 806,Cisco,
Proprete Paludate,,rtr-proprete-paludate,"12.4(4)T4, RELEASE SOFTWARE (fc2)",172.21.171.1,Cisco 871,Cisco,
RAM Prunier,,rtr-RAM-Prunier,"12.3(2)XC2, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.21.227.1,Cisco 831,Cisco,
Stade Stéhélin,DOI,rtr-stade-belair,,172.20.158.220,ES 470-48T,Synoptics,
Stade Chaban Delmas,,rtr-stadechaban.mbx.fr,"12.2(2)XK2, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.20.196.254,Cisco 806,Cisco,
Stade Galin,,rtr-stade-Galin,"12.2(8)YJ, EARLY DEPLOYMENT RELEASE SOFTWARE (fc1)",172.21.154.1,Cisco 806,Cisco,
SW-Jean-Monnet,,SW-Jean-Monnet-1,,172.25.82.220,Unknown,Unknown,
AH-ROH-Gd_SAM,admin@aerohive.com,AH-ROH-Gd_SAM,,192.168.24.41,HiveAP 20,Aerohive,
AH-ROH-Pt_SAM,admin@aerohive.com,AH-ROH-Pt_SAM,,192.168.24.42,HiveAP 20,Aerohive,
AH-ROH-Aile_Sud-Passerelle,admin@aerohive.com,,,192.168.24.34,HiveAP 20,Aerohive,
AH-ROH-2nd-Central-Sud,admin@aerohive.com,,,192.168.24.33,HiveAP 20,Aerohive,
AH-ROH-1er-Central-Sud,admin@aerohive.com,,,192.168.24.25,HiveAP 20,Aerohive,
AH-ROH_2nd_CULTURE,admin@aerohive.com,,,192.168.24.47,HiveAP 20,Aerohive,
AH-ROH_2nd_RI,admin@aerohive.com,,,192.168.24.17,HiveAP 20,Aerohive,
AH-ROH_2nd_COM,admin@aerohive.com,,,192.168.24.46,HiveAP 20,Aerohive,
SW-A-DUPEUX,,,07.4.00bT311 Compiled on Oct  3 2012 at 08:42:29 labeled as ICX64S07400b,172.25.51.220,"Brocade Communications Systems, Inc.","Brocade Communications Systems, Inc.",
SW-MAT-Stehelin,"Hangzhou H3C Technologies Co., Ltd.",,"3.10, Release 2108P04",172.25.44.221,H3C S3100-26TP-EI,H3C,
SW-ELE-David-Johnston-1,VPNWAASA08MELE0,,"3.10, Release 2108P04",172.25.12.220,H3C S3100-26TP-EI,H3C,
SW-ELE-Menuts,"Hangzhou H3C Technologies Co., Ltd.",,"3.10, Release 2211P06",172.25.26.220,H3C S3100-26TP-EI,H3C,
SW-ELE-CH.MARTIN-37,,,,172.25.37.220,ES 470-48T,Synoptics,
SW-MAT-Charles-Martin-37,DOI,,,172.25.37.221,Synoptics,Synoptics,
SW-ELE-Montaud,,,,172.25.28.220,Synoptics,Synoptics,
SW-ELE-J.PREVERT,"Hangzhou H3C Technologies Co., Ltd.",,"3.10, Release 2211P06",172.25.33.220,H3C S3100-26TP-EI,H3C,
SW-Paul-Doumer,"Hangzhou H3C Technologies Co., Ltd.",,"3.10, Release 2211P06",172.25.67.220,H3C,H3C,
SW-ELE-Paul-Doumer,,,,172.25.67.221,ES 470-48T,Synoptics,
SW-ELE-poincare,,,,172.25.43.220,Synoptics,Synoptics,
SW-MAT-Poincare,,,,172.25.43.221,Synoptics,Synoptics,
SW-ELE-Lac-2-85,"Hangzhou H3C Technologies Co., Ltd.",,"3.10, Release 2211P06",172.25.85.220,H3C S3100-26TP-EI,H3C,
Rohan-Central-Wifi,,,,172.20.251.154,Synoptics,Synoptics,
Cimetière Chartreuse,,,,172.20.251.96,Synoptics,Synoptics,
AH-ROH-Salon Laurencin,admin@aerohive.com,18.30.64.86.rev.sfr.net,,192.168.24.15,HiveAP 20,Aerohive,
AH-ROH-Salle des signatures,admin@aerohive.com,,,192.168.24.48,HiveAP 20,Aerohive,
AH-ROH-ES-PC_Crise,admin@aerohive.com,,,192.168.24.39,HiveAP 20,Aerohive,
